Element,Degree,Arcana,Name,SpellType,MP,CastTime,TN,Test,Effect,Page,Source
Arcane Blast,Novice,All,Arcane Blast,Attack,0,Major Action,0,,"If you are holding your arcane device, you can make a special Ranged Attack that damages foes with a blast of magical energy. This resolves like a normal Ranged Attack (so stunts are possible), but the attack roll is an Accuracy (Arcane Blast) test. An Arcane Blast has a range of 16 yards and inflicts 1d6 + Willpower damage. Making this attack requires no magic points.",32,FCRB
Air Arcana,Novice,Air - Novice,Air Bubble,Utility,4,Major Action,12,,"You create a bubble of fresh, clean, breathable air within a 3-yard radius around you, which moves with you as you move.
When it comes into being, the bubble pushes away any smoke, mist, dust, toxic gases, or even water (forming a bubble of air underwater) and slight positive air pressure keeps out all such things for up to an hour. You can renew an existing air bubble before it expires by recasting the spell, extending its duration for another hour.",118,FCRB
Air Arcana,Novice,Air - Novice,Protective Winds,Defense,4,Major Action,10,,"You summon a whipping wind that circles about you and protects you from harm.
You gain a +2 to your Defense vs. ranged attacks. Anyone adjacent to you (friend or foe) suffers a -1 penalty when making melee attacks. Protective winds last until the end of the encounter.",118,FCRB
Air Arcana,Novice,Air - Novice,Voices on the Wind,Utility,4+,1 Minute,11,,"You can focus in on any conversation happening within 100 yards of you, as long as you can see it taking place.
The wind carries the conversation to your ears, and you can hear it as clearly as if you were sitting next to the participants. You can switch to a different conversation as a major action. Voices on the wind lasts for 10 minutes, and you can extend it for 10 minutes for each 2 MP you spend.",118,FCRB
Air Arcana,Novice,Air - Novice,Wind Net,Utility,4,Free Action,11,,"At your command, the winds form an invisible net to slow and cushion a fall, allowing you to drop from any height and land on the ground without harm.
You can also cast wind net to catch a falling object or creature so long as you can see them, and their landing point is within 30 yards of you. Wind net does not affect direct missile weapon attacks, except for things like large falling objects. Each target object requires a new casting of the spell.",119,FCRB
Air Arcana,Expert,Air - Expert,Wall of Mist,Utility,6,Major Action,12,,"You summon up a wall of thick swirling mist within 30 yards of you.
The wall is up to 10 yards long, 4 yards tall, and 2 yards thick, following whatever path you wish. The mist does not impede movement but does block all sight through and within it. Those moving through the mist lose half (rounded down) of any move distance remaining to them in this action. The wall of mist lasts for up to 1 minute. You can pay the spell's MP cost again to extend its duration an additional minute.",119,FCRB
Air Arcana,Expert,Air - Expert,Wind Blast,Attack,8,Major Action,14,Strength (Might) Vs. Spellpower,"You send a powerful gust of wind from your outstretched hands or arcane device.
The wind blast is 6 yards long and 4 yards wide. Anyone caught inside it must make a Strength (Might) test vs. your Spellpower or be knocked Prone after sliding away from you a number of yards equal to thespell's degrees of success. The wind will also send light objects flying, blow out candles, etc.",119,FCRB
Air Arcana,Master,Air - Master,Whirlwind,Attack,10,Major Action,15,Dexterity (Acrobatics) Vs. Spellpower,"A powerful vortex of air with a 4-yard radius springs into being at a point you choose within 50 yards of you.
Anyone caught in the area of the whirlwind takes 3d6 + Willpower damage and may be knocked Prone. Those who succeed on a Dexterity (Acrobatics) test vs. your Spellpower are able to remain standing.",119,FCRB
Air Arcana,Master,Air - Master,Winds of Flight,Utility,10+,Major Action,15,,"You summon winds that bear you aloft. You gain a flying Speed of 8 + Willpower. You must use the rules for flying found in Chapter 2: Basic Rules, though you retain your land Speed while on the ground. Winds of flight lasts for 1 hour and you can extend it for up to 5 hours for a cost of 2 MP per hour.",119,FCRB
Beast Arcana,Novice,Beast - Novice,Beast Senses,Utility,4,Major Action,12,,"You can access the senses of a creature, using them as if they were your own.
Choose a beast within 20 yards of you that you can perceive or that you know well. You may either gain one of that beast's Perception focuses or sensory special qualities or perceive the environment through the beast's senses as if you were that beast. Either effect lasts for the remainder of the encounter, even if the beast moves more than the initial 20 yards away
from you. If you are perceiving through the beast's senses, your own are shut down and you are unaware of what is happening around you. You can pay thespell's MP cost again to extend its duration for another encounter, even if the beast is some distance from you. At Expert degree, you can cast beast senses on any beast you have summoned with beast summoning or charmed with charm beasts automatically for half MP cost.",119,FCRB
