Name,DegreeLong,Specialization,Degree,Class1,Class2,Class3,Requirements,Description,Page,Source
Arcane Disciple,Novice,Arcane Disciple - Novice,1,Envoy,Rogue,Warrior,"Intelligence 2, Willpower 2, The Intelligence (Arcane Lore) Focus","You gain one Novice spell from any arcana. You also gain magic points equal to your 5 + Willpower + 1d6.
gain magic points equal to your 5 + Willpower + 1d6.",82,FCRB
Arcane Disciple,Expert,Arcane Disciple - Expert,2,Envoy,Rogue,Warrior,"Intelligence 2, Willpower 2, The Intelligence (Arcane Lore) Focus",You gain one Novice spell from any arcana in addition to the one you got with the Novice degree. You may also reduce the strain of casting in armor by 3. You also gain an additional 1d6 + Willpower magic points on top of those provided at Novice degree.,83,FCRB
Arcane Disciple,Master,Arcane Disciple - Master,3,Envoy,Rogue,Warrior,"Intelligence 2, Willpower 2, The Intelligence (Arcane Lore) Focus","You gain one Expert spell of any arcana. Alternatively, you may take two more Novice spells from any arcana. You once again gain 1d6 + Willpower magic points on top of those provided at the Novice and Expert degrees.",83,FCRB
Arcane Scholar,Novice,Arcane Scholar - Novice,1,Mage,,,"Intelligence 3, The Intelligence (Arcane Lore) Focus","You have a wide knowledge of magic theory and practice. If you fail an Intelligence (Arcane Lore) test you can reroll it, but must keep the results of the second roll. Further- more, you can read magical texts in virtually any language, as your scholastic abilities fill in for your lack of linguistic knowledge. Additionally, you gain the identify enchantment spell even if you do not possess the Enchantment Arcana.",83,FCRB
Arcane Scholar,Expert,Arcane Scholar - Expert,2,Mage,,,"Intelligence 3, The Intelligence (Arcane Lore) Focus","You can cast the identify enchantment spell for 0 MP as a major action instead of 1 minute. Also, you can automati- cally tell if an item is cursed after examining it for 1 minute.",83,FCRB
Arcane Scholar,Master,Arcane Scholar - Master,3,Mage,,,"Intelligence 3, The Intelligence (Arcane Lore) Focus",You can automatically determine if an item is enchanted or cursed simply by examining it as a major action. You do not need to touch the item but must be within 5 yards.,83,FCRB
Aristocrat,Novice,Aristocrat - Novice,1,Envoy,,,,"You know the essence of noble leadership. Choose one of the following Communication focuses: Bargaining, Etiquette, or Leadership. If you fail a Communication test with your chosen focus, you may reroll it, but you must keep the result of the second roll.",83,FCRB
Aristocrat,Expert,Aristocrat - Expert,2,Envoy,,,,"Authority demands weaponry and wealth. When you hit a target which you are capable of communicating with, add +2 to damage. In addition, when you gain a level, you earn 10% of the value of unspent coins, though not other valuables. You may invest the coin of fellow PCs (but never NPCs) alongside your own.",83,FCRB
Aristocrat,Master,Aristocrat - Master,3,Envoy,,,,"You have an aura of command that leads others to obey you. When you use the Impress basic social stunt, your bonus is 1 more than the number of SP you spend. Also, your profits from the Expert ability to invest money increase to 20%.",83,FCRB
Aspect Warrior,Novice,Aspect Warrior - Novice,1,Rogue,Warrior,,"Willpower 2, Constitution 2","Pick a divine aspect that inspires you. This aspect is associated with an animal that you consider sacred. Exam- ples are noted in parentheses, but the GM makes the final call based on the gods in their campaign world. You are consid- ered to have the Communication (Animal Handling) focus with this type of animal. If you already have the Communication (Animal Handling) focus, it gives an additional +1 bonus when used with this type of animal.
In addition, pick one of the following bonuses based on the selected animal:
Great Hunter: +1 bonus on melee attack rolls
Great Trickster: +1 Defense
Raging One: +1 bonus on melee damage
Swift One: +1 Speed
Unyielding One: Natural Armor rating of 1",83,FCRB
Aspect Warrior,Expert,Aspect Warrior - Expert,2,Rogue,Warrior,,"Willpower 2, Constitution 2","You learn to channel your divine aspect more fully. The stunt(s) listed for your animal can be performed for 1 SP less than normal. Stunts whose cost becomes 0 SP can still only be performed when stunt points are generated.
Great Hunter: Lightning Attack
Great Trickster: Taunt
Raging One: Lethal Blow
Swift One: Skirmish
Unyielding One: Stay Aware",83,FCRB
Aspect Warrior,Master,Aspect Warrior - Master,3,Rogue,Warrior,,"Willpower 2, Constitution 2","Your chosen deity empowers and protects you. You are considered to have an Armor Rating equal to your Willpower +2 or an Armor Rating conferred by worn armor, whichever is higher, as the two sources of AR do not stack with each other.",83,FCRB
Assassin,Novice,Assassin - Novice,1,Rogue,,,"Dexterity 2, Intelligence 2","You can assess a nearby opponent and spot weak- nesses that can be exploited in combat. With an Activate action you can mark for death a visible target within 10 yards of you. You inflict +2 to damage against the one you marked for death until they're defeated, you're defeated, or the encounter ends. You may only mark one target for death at a time.",84,FCRB
Assassin,Expert,Assassin - Expert,2,Rogue,,,"Dexterity 2, Intelligence 2","You know how to exploit your target's weaknesses. When you make a pinpoint attack against an opponent you have marked for death, you inflict an extra 1d6 damage. If this reduces your target's Health to 0 you may inflict the Kill coup de grace result immediately and automatically, even with a ranged weapon.",84,FCRB
Assassin,Master,Assassin - Master,3,Rogue,,,"Dexterity 2, Intelligence 2","Even the quickest of targets cannot escape you. You can make Pinpoint Attacks against all opponents, no matter their Dexterity.",84,FCRB
Bard,Novice,Bard - Novice,1,Envoy,Rogue,,"Communication 2, The Performance Talent (Novice), At Least One Lore-Based Intelligence Focus","You can move others with song and verse and can pluck out secrets alluded to by ancient hymns and epics. You drive others to perform heroically. Once per encounter you can take a major action and with a successful TN 13 Communication (Performance) test, spin a tale or sing a song to inspire an ally capable of perceiving the effort. This may happen before or during an encounter. An inspired ally may reroll one failed test during the encounter. You may use the Crowd Appeal stunt with this ability to influence multiple allies.",84,FCRB
Bard,Expert,Bard - Expert,2,Envoy,Rogue,,"Communication 2, The Performance Talent (Novice), At Least One Lore-Based Intelligence Focus",Bards often remember stories and tales that provide useful insights. This allows you to use the Extra Information exploration stunt for 1 SP less than usual. Once per encounter you can also add your Intelligence (Musical Lore) focus bonus to any other Lore-based test.,84,FCRB
